央视频道,#genre#
苏州|南京影视,https://epg.pw/stream/773779969ebf5c865e70a25fe14b254c3b9dfd50bb0d8827c20723253e61628d.m3u8
吉林影视,https://epg.pw/stream/64c6da042a172abe0b223936e2b7d91d4109fa5c8e416b5bb7a265e36e0f43d7.m3u8
广东影视,https://epg.pw/stream/cbeb37fe05086e8a0e425d6a98c17e3ba01a9c5ef8e74b9b128bc9d5e41b4a8c.m3u8
广西影视,https://epg.pw/stream/397ad4626ff6079e13990bc6474d9a855c149a7fdf3c827d83bd1277547dc025.m3u8
武汉电视剧,https://epg.pw/stream/453349f87c7f953c1def3cb52e7a9312505eed5ed2fbaa97d9b928c3f582d392.m3u8
河北影视,https://epg.pw/stream/f927788e08949e5333ad97affc4fb4b9649bef97948e0794f1ec0936054bd8c3.m3u8
河北影视剧,https://epg.pw/stream/c052b9f414bbbf9c00616f9184da6d11fa730d903171e2ae8d1ef1b80538f600.m3u8
河南电视剧,https://epg.pw/stream/54004d9576e0f7f4fd5d8ff86403b3419be425bb87b611182cd7af86f586391b.m3u8
湖北影视,https://epg.pw/stream/363fe4337ffac6ddf7add20ba1d6eb7b3fc57ebf9d1207e991edc95a10bd34e9.m3u8
湖南电影,https://epg.pw/stream/84314710068d51088a7fac2dcac4032ce649b5dd9b8659b4e5b1781cc7ca5dc0.m3u8
湖南电视剧,https://epg.pw/stream/92d92e02b05b219fca164b0fde958d16f1ffd3ce413e5395448592546b049ce3.m3u8
滨海影视,https://epg.pw/stream/07686fe556dab33bdd73b741e34c276c481627226c75fc433b9563d3ddba6280.m3u8
甘肃文化影视,https://epg.pw/stream/f24b4d04dc28ddf7cd6e4bffcffc567afcca879d109a74eb4965a75b2dc32a15.m3u8
福建电视剧,https://epg.pw/stream/1357c2b6a3ca5af32ff688f9171fcb377137fb088268436bb49fa4f3854c2cea.ctv
绍兴文化影院,https://epg.pw/stream/69e2feb3fc54896357a380d344242de12ee1bd360a98ab33d465e8688593081e.m3u8
黑龙江影视,https://epg.pw/stream/6186d8420f7e86d3337615a008072538610d9e9a20c1d01d4087add26fcbe019.m3u8
Movies,#genre#
好莱坞电影,https://epg.pw/stream/10245195fe86e1b6102991006aec2652c7b8deb3d53c29c014c3b836da397bc0.m3u8
[BD]cctv怀旧剧场,https://epg.pw/stream/188c041c330736b956fe8f41af7bf90cac0dd06699f977752ac93f0359de4a23.ctv
省市卫视,#genre#
北京卫视,http://39.134.3.73:6610/000000001777/400000000100111030/1.m3u8
天津卫视,http://39.134.3.73:6610/000000001777/400000000100111032/1.m3u8
东方卫视,http://39.134.3.73:6610/000000001777/400000000100111028/1.m3u8
深圳卫视,http://39.134.3.73:6610/000000001777/400000000100111029/1.m3u8
河北卫视,http://39.134.3.73:6610/000000001666/100000000100111031/1.m3u8
江苏卫视,http://39.134.3.73:6610/000000001777/400000000100111026/1.m3u8
浙江卫视,http://39.134.3.73:6610/000000001777/400000000100111027/1.m3u8
山东卫视,http://39.134.3.73:6610/000000001777/400000000100111031/1.m3u8
东南卫视,http://39.134.3.73:6610/000000001777/400000000100111044/1.m3u8
广东卫视,http://39.134.3.73:6610/000000001777/400000000100111048/1.m3u8
海南卫视,http://39.134.3.73:6610/000000001777/400000000100111042/1.m3u8
安徽卫视,http://39.134.3.73:6610/000000001777/400000000100111038/1.m3u8
河南卫视,http://39.134.3.73:6610/000000001777/400000000100111049/1.m3u8
湖北卫视,http://39.134.3.73:6610/000000001777/400000000100111050/1.m3u8
湖南卫视,http://39.134.3.73:6610/000000001777/400000000100111047/1.m3u8
江西卫视,http://39.134.3.73:6610/000000001777/400000000100111040/1.m3u8
贵州卫视,http://39.134.3.73:6610/000000001777/400000000100111033/1.m3u8
四川卫视,http://39.134.3.73:6610/000000001777/400000000100111034/1.m3u8
云南卫视,http://39.134.3.73:6610/000000001777/400000000100111035/1.m3u8
广西卫视,http://39.134.3.73:6610/000000001777/400000000100111036/1.m3u8
黑龙江卫视,http://39.134.3.73:6610/000000001777/400000000100111037/1.m3u8
吉林卫视,http://39.134.3.73:6610/000000001777/400000000100111056/1.m3u8
辽宁卫视,http://39.134.3.73:6610/000000001777/400000000100111045/1.m3u8
陕西卫视,http://39.134.3.73:6610/000000001777/400000000100111043/1.m3u8
山西卫视,http://39.134.3.73:6610/000000001777/400000000100111039/1.m3u8
内蒙古卫视,http://39.134.3.73:6610/000000001777/400000000100111046/1.m3u8
甘肃卫视,http://39.134.3.73:6610/000000001777/400000000100111052/1.m3u8
宁夏卫视,http://39.134.3.73:6610/000000001777/400000000100111051/1.m3u8
青海卫视,http://39.134.3.73:6610/000000001777/400000000100111053/1.m3u8
新疆卫视,http://39.134.3.73:6610/000000001777/400000000100111054/1.m3u8
西藏卫视,http://39.134.3.73:6610/000000001777/400000000100111055/1.m3u8
特色频道,#genre#
discovery hd world,https://epg.pw/stream/d476259f960b090099ac5b0617a17de7d827b7225ba978cebec1b338730b64e6.m3u8
discovery,https://epg.pw/stream/2e8d085db864b7877cfce3927ef07b816f4b1672c6f8a757f0373f224e26ae02.ctv
discovery family,https://epg.pw/stream/a4f3bfab9757330e7d215c5185807053cd3384c86d87a5947c36660b42dfa222.ctv
discovery id,https://epg.pw/stream/8dac86825af17958c13e5eabee0168f6a409f591cd827b886394ecd9b2237d2c.ctv
求索生活,https://stream1.freetv.fun/80dafd9465b1553d68829527b1bd9e15e8d49585e9a7735f141aa6f7cf7cfb40.m3u8
求索科学,https://stream1.freetv.fun/3c7a8f431612bb4452904e6ce413e521e8e52e53495ae98c8a0e3e968183ef17.m3u8
超级综艺,http://39.134.3.73:6610/000000001666/100000000100111002/1.m3u8
超级体育,http://39.134.3.73:6610/000000001666/100000000100111004/1.m3u8
超级电影,http://39.134.3.73:6610/000000001666/100000000100111006/1.m3u8
超级电视剧,http://39.134.3.73:6610/000000001666/100000000100111008/1.m3u8
黑莓电影,http://39.134.3.73:6610/000000001666/100000000100111064/1.m3u8
动作电影,http://39.134.3.73:6610/000000001666/100000000100111057/1.m3u8
中国功夫,http://39.134.3.73:6610/000000001666/100000000100111082/1.m3u8
爱情喜剧,http://39.134.3.73:6610/000000001666/100000000100111065/1.m3u8
潮妈辣婆,http://39.134.3.73:6610/000000001666/100000000100111075/1.m3u8
军事评论,http://39.134.3.73:6610/000000001666/100000000100111068/1.m3u8
军旅剧场,http://39.134.3.73:6610/000000001666/100000000100111058/1.m3u8
欢乐剧场,http://39.134.3.73:6610/000000001666/100000000100111098/1.m3u8
都市剧场,http://39.134.3.73:6610/000000001666/100000000100111209/1.m3u8
家庭剧场,http://39.134.3.73:6610/000000001666/100000000100111059/1.m3u8
精品大剧,http://39.134.3.73:6610/000000001666/100000000100111066/1.m3u8
古装剧场,http://39.134.3.73:6610/000000001666/100000000100111056/1.m3u8
惊悚悬疑,http://39.134.3.73:6610/000000001666/100000000100111060/1.m3u8
炫舞未来,http://39.134.3.73:6610/000000001666/100000000100111081/1.m3u8
武搏世界,http://39.134.3.73:6610/000000001666/100000000100111062/1.m3u8
金牌综艺,http://39.134.3.73:6610/000000001666/100000000100111067/1.m3u8
农业致富,http://39.134.3.73:6610/000000001666/100000000100111069/1.m3u8
精品纪录,http://39.134.3.73:6610/000000001666/100000000100111070/1.m3u8
纪实科教,http://39.134.3.73:6610/000000001666/100000000100111076/1.m3u8
金鹰纪实,http://39.134.3.73:6610/000000001666/100000000100111078/1.m3u8
央视高网,http://39.134.3.73:6610/000000001666/100000000100111107/1.m3u8
纪实人文,http://39.134.3.73:6610/000000001666/100000000100111080/1.m3u8
中华美食,http://39.134.3.73:6610/000000001666/100000000100111106/1.m3u8
怡伴健康,http://39.134.3.73:6610/000000001666/100000000100111071/1.m3u8
精品体育,http://39.134.3.73:6610/000000001666/100000000100111074/1.m3u8
五星体育,http://39.134.3.73:6610/000000001666/100000000100111241/1.m3u8
哒跛赛事,http://39.134.3.73:6610/000000001666/100000000100111055/1.m3u8
纯享4K,http://39.134.3.73:6610/000000001666/100000000100111083/1.m3u8
嘉佳卡通,http://39.134.3.73:6610/000000001666/100000000100111077/1.m3u8
金鹰卡通,http://39.134.3.73:6610/000000001666/100000000100111044/1.m3u8
动漫秀场,http://39.134.3.73:6610/000000001666/100000000100111231/1.m3u8
卡酷少儿,http://39.134.3.73:6610/000000001666/100000000100111045/1.m3u8
优漫卡通,http://39.134.3.73:6610/000000001666/100000000100111047/1.m3u8
哈哈炫动,http://39.134.3.73:6610/000000001666/100000000100111048/1.m3u8
黑莓动画,http://39.134.3.73:6610/000000001666/100000000100111054/1.m3u8
健美训练,http://39.134.3.73:6610/000000001666/100000000100111101/1.m3u8
体育赛事,http://39.134.3.73:6610/000000001666/100000000100111094/1.m3u8
录像台1,http://39.134.3.73:6610/000000001666/100000000100111061/1.m3u8
录像台2,http://39.134.3.73:6610/000000001666/100000000100111063/1.m3u8
CGTN,http://39.134.3.73:6610/000000001666/100000000100111053/1.m3u8
CETV1,http://39.134.3.73:6610/000000001666/100000000100111043/1.m3u8
CETV2,http://39.134.3.73:6610/000000001666/100000000100111100/1.m3u8
CETV4,http://39.134.3.73:6610/000000001666/100000000100111042/1.m3u8
山东教育卫视,http://39.134.3.73:6610/000000001666/100000000100111046/1.m3u8
熊猫频道,https://epg.pw/stream/3a3cd6889c336a75c3e5ef438e68f6300bf99e792c1eb9878986aad540468d9c.m3u8
快乐垂钓,https://epg.pw/stream/7cb0483c83dc3ae526125c8357bb3ae38e32b2e3bf6a1b1649a841da9542489f.m3u8
CCTV怀旧剧场,https://epg.pw/stream/64118614da901fa555c5610863ebf1a8a8b974569476259a8a5d3d014e16e6f3.m3u8
CCTV文化精品,https://epg.pw/stream/70666105717759ad2b87b61789ef3e4ef7aad472a2adc319c102e6488cbc70ad.m3u8
CCTV卫生健康,https://epg.pw/stream/fc90a505bbcefc5a9c91e5dc5e12f5b0d6f76ac5f86b55a33ee724051af2d385.m3u8
CCTV电视指南,https://epg.pw/stream/9e948bbd5453affbe5fe879bc1c4145203aac9b993b01e7db9b1148e40815499.m3u8
CCTV兵器科技,https://epg.pw/stream/eefe6cb512978f2ae6655942726d3db62226f7a84f4b2a25e4bc3babaaaa596a.m3u8
CCTV世界地理,https://epg.pw/stream/a21d3b2c0fb8bedc944540de165684096fba12a38f2320b2432ff9db7a01dd03.m3u8
CCTV风云剧场,https://epg.pw/stream/676f4b273ee7a1b54be02b6406b73822401d0be7b04001f0e77cb0c2a88830bf.ctv
CCTV风云足球,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
CCTV女性时尚,https://epg.pw/stream/1077cc124885bf8775068ce65630acf3ef9480488700f3b093314c6070bdb3e0.m3u8
CCTV第一剧场,https://epg.pw/stream/5786b35cc03d1123a37e180495579c6e0fbd339c32542307be9a2e4388e04925.m3u8
CCTV央视台球,https://epg.pw/stream/25677ac2e8c1f7c3dd6359c43eb5f0f54efb3f5c11f9dda18d01b3e0308ed017.m3u8
iHOT爱院线,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000034/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000034&IASHttpSessionId=OTT19019320240419154124000281
iHOT爱科幻,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000033/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000033&IASHttpSessionId=OTT19019320240419154124000281
iHOT爱浪漫,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000035/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000035&IASHttpSessionId=OTT19019320240419154124000281
iHOT爱喜剧,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000032/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000032&IASHttpSessionId=OTT19019320240419154124000281
iHOT爱悬疑,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000036/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000036&IASHttpSessionId=OTT19019320240419154124000281
iHOT爱赛车,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000055/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000055&IASHttpSessionId=OTT19019320240419154124000281
iHOT爱体育,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000060/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000060&IASHttpSessionId=OTT19019320240419154124000281
iHOT爱奇谈,http://[2409:8087:5e08:24::12]:6610/000000001000/2000000004000000058/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000058&IASHttpSessionId=OTT19019320240419154124000281
